label,text,source
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",uci-spam-sms
ham,Ok lar... Joking wif u oni...,uci-spam-sms
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,uci-spam-sms
ham,U dun say so early hor... U c already then say...,uci-spam-sms
ham,"Nah I don't think he goes to usf, he lives around here though",uci-spam-sms
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",uci-spam-sms
ham,Even my brother is not like to speak with me. They treat me like aids patent.,uci-spam-sms
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,uci-spam-sms
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,uci-spam-sms
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,uci-spam-sms
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",uci-spam-sms
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",uci-spam-sms
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",uci-spam-sms
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,uci-spam-sms
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,uci-spam-sms
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",uci-spam-sms
ham,Oh k...i'm watching here:),uci-spam-sms
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,uci-spam-sms
ham,Fine if thats the way u feel. Thats the way its gota b,uci-spam-sms
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",uci-spam-sms
ham,Is that seriously how you spell his name?,uci-spam-sms
ham,I‘m going to try for 2 months ha ha only joking,uci-spam-sms
ham,So ü pay first lar... Then when is da stock comin...,uci-spam-sms
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,uci-spam-sms
ham,Ffffffffff. Alright no way I can meet up with you sooner?,uci-spam-sms
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,uci-spam-sms
ham,Lol your always so convincing.,uci-spam-sms
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,uci-spam-sms
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",uci-spam-sms
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,uci-spam-sms
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",uci-spam-sms
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,uci-spam-sms
ham,K tell me anything about you.,uci-spam-sms
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,uci-spam-sms
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,uci-spam-sms
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,uci-spam-sms
ham,"Oops, I'll let you know when my roommate's done",uci-spam-sms
ham,I see the letter B on my car,uci-spam-sms
ham,Anything lor... U decide...,uci-spam-sms
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,uci-spam-sms
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,uci-spam-sms
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",uci-spam-sms
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,uci-spam-sms
ham,WHO ARE YOU SEEING?,uci-spam-sms
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,uci-spam-sms
ham,No calls..messages..missed calls,uci-spam-sms
ham,Didn't you get hep b immunisation in nigeria.,uci-spam-sms
ham,"Fair enough, anything going on?",uci-spam-sms
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",uci-spam-sms
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,uci-spam-sms
ham,What you thinked about me. First time you saw me in class.,uci-spam-sms
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",uci-spam-sms
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,uci-spam-sms
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",uci-spam-sms
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,uci-spam-sms
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,uci-spam-sms
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",uci-spam-sms
ham,"Sorry, I'll call later in meeting.",uci-spam-sms
ham,Tell where you reached,uci-spam-sms
ham,Yes..gauti and sehwag out of odi series.,uci-spam-sms
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,uci-spam-sms
ham,Ha ha ha good joke. Girls are situation seekers.,uci-spam-sms
ham,Its a part of checking IQ,uci-spam-sms
ham,"Sorry my roommates took forever, it ok if I come by now?",uci-spam-sms
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,uci-spam-sms
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",uci-spam-sms
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",uci-spam-sms
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",uci-spam-sms
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",uci-spam-sms
ham,I plane to give on this month end.,uci-spam-sms
ham,Wah lucky man... Then can save money... Hee...,uci-spam-sms
ham,Finished class where are you.,uci-spam-sms
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,uci-spam-sms
ham,K..k:)where are you?how did you performed?,uci-spam-sms
ham,U can call me now...,uci-spam-sms
ham,I am waiting machan. Call me once you free.,uci-spam-sms
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,uci-spam-sms
ham,I like you peoples very much:) but am very shy pa.,uci-spam-sms
ham,Does not operate after  &lt;#&gt;  or what,uci-spam-sms
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,uci-spam-sms
ham,"Sorry, I'll call later",uci-spam-sms
ham,K. Did you call me just now ah? ,uci-spam-sms
ham,Ok i am on the way to home hi hi,uci-spam-sms
ham,You will be in the place of that man,uci-spam-sms
ham,Yup next stop.,uci-spam-sms
ham,"I call you later, don't have network. If urgnt, sms me.",uci-spam-sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,uci-spam-sms
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,uci-spam-sms
ham,I'm really not up to it still tonight babe,uci-spam-sms
ham,"Ela kano.,il download, come wen ur free..",uci-spam-sms
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,uci-spam-sms
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,uci-spam-sms
